id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
71568,55.68333,-165.76667,1975,southern Tanner crab,male,113,5.3,3.3,63,3039
71567,55.66667,-166.4,1975,southern Tanner crab,male,123,8.3,3.2,103,12153
71566,55.66667,-166.96667,1975,southern Tanner crab,male,132,5.8,4.5,71,4557
71565,55.66667,-167.56667,1975,southern Tanner crab,male,132,6.8,3.4,72,11396
71407,55.35,-163.43333,1975,southern Tanner crab,male,51,5.2,2,1,24612
71406,55.33333,-163.98333,1975,southern Tanner crab,male,73,5.6,3.7,55,35535
71405,55.33333,-164.58333,1975,southern Tanner crab,male,99,5.4,2.7,54,14135
71404,55.33333,-165.16667,1975,southern Tanner crab,male,108,5,3.4,65,4904
71403,55.33333,-165.78333,1975,southern Tanner crab,male,115,5.6,3.5,68,1658
71402,55.33333,-166.33333,1975,southern Tanner crab,male,130,5.3,3.6,69,4756
71401,55.33333,-166.95,1975,southern Tanner crab,male,137,5.7,2.8,70,4425
71400,55.33333,-167.55,1975,southern Tanner crab,male,144,7.2,3.2,102,10981
71399,55,-165.15,1975,southern Tanner crab,male,108,5.2,3.9,66,12777
73868,56.33333,-162.2,1976,southern Tanner crab,male,80,4.5,-0.3,46,20167
71366,57.03333,-162.18333,1976,southern Tanner crab,male,57,3,0.7,67,16715
71367,57.01667,-161.56667,1976,southern Tanner crab,male,68,4,0.3,68,9255
71368,57.01667,-160.96667,1976,southern Tanner crab,male,62,1.2,0.9,69,6920
71369,57.01667,-160.33333,1976,southern Tanner crab,male,62,1.3,1,72,7873
71370,57.01667,-159.71667,1976,southern Tanner crab,male,55,2.2,1.5,74,3207
71371,56.98333,-168.3,1976,southern Tanner crab,male,84,0.9,0.3,84,2335
71372,57.03333,-168.93333,1976,southern Tanner crab,male,77,6.5,1,114,3545
71373,56.98333,-169.53333,1976,southern Tanner crab,male,59,6,2,115,13929
71374,57.01667,-170.15,1976,southern Tanner crab,male,64,4.8,2.5,116,13399
71375,56.98333,-170.9,1976,southern Tanner crab,male,93,6.5,2.3,117,15191
71376,57,-171.41667,1976,southern Tanner crab,male,106,8.3,3.3,145,553
71377,57.01667,-172.05,1976,southern Tanner crab,male,113,8.5,3.9,144,4895
71378,57.33333,-164.55,1976,southern Tanner crab,male,64,,,162,1005
71379,57.35,-163.98333,1976,southern Tanner crab,male,60,5.7,0.2,102,553
71380,57.35,-163.36667,1976,southern Tanner crab,male,51,4,0.2,101,3646
71381,57.35,-162.76667,1976,southern Tanner crab,male,48,4.4,2.6,93,2348
71382,57.33333,-162.15,1976,southern Tanner crab,male,49,4.5,1.9,92,3155
71383,57.35,-161.53333,1976,southern Tanner crab,male,53,,,87,5751
71384,57.35,-160.93333,1976,southern Tanner crab,male,59,1.6,0.6,70,4558
71385,57.35,-160.31667,1976,southern Tanner crab,male,59,1.5,1.2,71,1899
71386,57.35,-159.66667,1976,southern Tanner crab,male,51,2.2,1.5,75,3038
71387,57.35,-159.05,1976,southern Tanner crab,male,46,2,2,76,3190
71388,57.35,-168.31667,1976,southern Tanner crab,male,73,,,217,272
71389,57.33333,-168.9,1976,southern Tanner crab,male,73,1.7,,124,961
71390,57.35,-170.93333,1976,southern Tanner crab,male,82,6.7,2.3,118,8660
71391,57.35,-171.45,1976,southern Tanner crab,male,99,6.7,2.1,119,1934
71392,57.68333,-166.41667,1976,southern Tanner crab,male,62,,,211,272
71393,57.68333,-164.01667,1976,southern Tanner crab,male,48,4.3,2.3,99,127
71394,57.68333,-163.35,1976,southern Tanner crab,male,44,4.5,2.4,100,127
71395,57.66667,-161.5,1976,southern Tanner crab,male,51,4.7,2.3,88,1519
71396,57.68333,-160.9,1976,southern Tanner crab,male,53,4.4,1.5,86,553
71397,57.68333,-160.26667,1976,southern Tanner crab,male,49,3.5,1.9,83,886
93619,56.35,-168.85,1976,southern Tanner crab,female,124,8.5,3.6,133,7361
93620,56.36667,-169.41667,1976,southern Tanner crab,female,137,7.7,3.6,147,14642
93621,56.31667,-170.21667,1976,southern Tanner crab,female,110,8.3,3.5,138,1393
